objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,tipo_ruta_troncal,tipo_operacion,tipo_bus_ruta_troncal,estado_ruta_troncal,longitud_ruta_troncal,globalid
16,H21,H21,DH21,PORTAL 80,PORTAL TUNAL,TRONCAL,Normal,BIARTICULADO,OPERATIVA,24.04710247,{30244A25-7841-47AC-8B5E-599E5F2EE76E}
17,F23,F23,FJ23,AGUAS,PORTAL AMERICAS,TRONCAL,Normal,BIARTICULADO,OPERATIVA,14.45862109,{54859039-8468-4636-87A1-7ED6BC02C4A4}
19,H21,H21,DH21,PORTAL 80,PORTAL TUNAL,TRONCAL,Normal,BIARTICULADO,OPERATIVA,20.6416603,{CB0F3067-1572-4198-B5A3-5110E309B567}
21,F28,F28,BF28,PORTAL NORTE,PORTAL AMERICAS,TRONCAL,Normal,ARTICULADO,OPERATIVA,28.97644288,{0D2B8849-59BF-4F99-9554-705835AA4F1D}
22,B13,B13,BH13,PORTAL TUNAL,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,OPERATIVA,27.32081306,{C79274A3-5619-4023-A37D-FBB28DBAD9A1}
23,M86-K86,M86-K86,M86-K86,AEROPUERTO EL DORADO,HACIENDA SANTA BARBARA,DUAL,Normal,DUAL,OPERATIVA,46.45448293,{5F5931C6-0FFA-493A-92C1-78FEA6F3AEE6}
24,D81,D81,D81-M81,MUSEO NACIONAL,PUENTE DE GUADUA,DUAL,Normal,DUAL,OPERATIVA,16.68810817,{52414795-37F2-4B65-81BE-0D2B60FC30D3}
25,7-2,7 P,7,PORTAL SUBA,SANTA ISABEL,TRONCAL,Normal,ARTICULADO,OPERATIVA,20.39738853,{97A55CE6-E639-4EF4-9131-B3B743B8C1CF}
26,K23,K23,BK23,ALCALA,PORTAL ELDORADO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,21.87195756,{24F3BD7C-1898-40B1-AD6A-DDCF7FF70CB9}
28,B12GS,B12GS,BG12,G. SANTANDER,PORTAL NORTE,TRONCAL,Refuerzo,BIARTICULADO,OPERATIVA,22.63261043,{A9FB9C48-90DA-4BF8-A2CE-EBAD07BD187E}
29,H17,H17,CH17,PORTAL SUBA,PORTAL USME,TRONCAL,Normal,BIARTICULADO,OPERATIVA,29.88521501,{D876ECE9-104E-458D-9E3E-198DECAE0425}
30,L41,L41,GL41,SAN MATEO,BICENTENARIO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,15.49729439,{508BF73F-2CCE-4F3D-A63C-B1A9F4A78FFA}
31,B27,B27,BH27,PORTAL TUNAL,PORTAL NORTE,TRONCAL,Normal,BIARTICULADO,OPERATIVA,27.27119856,{0C47F1E0-BC60-4885-8BC6-B74CD838508F}
32,2-1,2 M,2,MUSEO NACIONAL,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,OPERATIVA,7.26857551,{B6542EE8-46B4-43B1-AAC2-8D5D088302D3}
33,G45,G45,GG45,PORTAL SUR,SAN MATEO,TRONCAL,Normal,ARTICULADO,OPERATIVA,4.97626077,{9CDAFD40-6B40-4B0E-BE74-05858F9F45E8}
34,H75,H75,BH75,PORTAL NORTE,PORTAL USME,TRONCAL,Normal,ARTICULADO,OPERATIVA,28.32983361,{C66B10BF-EDA0-4554-9719-FE4E9A6CCF9C}
35,C25,C25,CL25,PORTAL 20 DE JULIO,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,OPERATIVA,24.99844382,{3A4E8973-1F7C-450F-9A25-0D9F6583F196}
36,M82-L82CV,M82-L82CV,M82-L82,PORTAL 20 DE JULIO,CLINICA EL BOSQUE,DUAL,Ciclovia,DUAL,OPERATIVA,42.21469544,{CBA8F54D-7219-49E3-A82D-A09D09E37604}
